categorie,x,Population ,,Economic,,,,,Debt ,,,invesment ,,Energy (physical units),,,,,,,,,Energy (monetary terms),,,Derived Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Year,Population,Population annual change,México GDP,"GDP per capita
in México
(constant 2015 USD)",poverty,Real Minimum Wage ,Gini Index,Private debt ,Public Sector Debt,PEMEX debt ,Infrastructure investment,"Foreign direct investment 
(FDI)",Total Oil production,Total Oil consumption,"Total domesic 
energy consumption","Domestic energy
 consumption of coal","Domestic energy
 consumption of natural gas","Domestic energy
 consumption of petroleum","Domestic nuclear energy
 consumption ","Domestic renewables energy
 consumption ",Anual exports,Production Value,Consumption Value,Net Oil Rent,Energy productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,x,Millions,%,Current millions USD,2015 USD,%,Mexican pesos,%,%,%,MXN millions,MXN millions,Millions USD,Mb/d,Mb/d,Petajoules,Petajoules,Petajoules,Petajoules,Petajoules,Petajoules,Mb/d,Current millions USD,Current millions USD,Current millions USD,Current millions USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,x,Total national population,% change of population,Gross Domestic Product,GDP per person,"Share of population 
living on less than
 $8.30 USD a day","inflation-adjusted 
minimum wage",Inequality in income distribution,"Private debt as 
percent of GDP","Public sector debt
as percent of GDP",Total PEMEX debt,"Total PEMEX investment in 
infrastructure","FDI specifically in the
 oil and gas sector","Daily average of crude 
oil production","Daily average of crude 
oil consumption","Total 
energy consumpion ","Total 
energy consumpion ","Total 
energy consumpion ","Total 
energy consumpion ","Total 
energy consumpion ","Total 
energy consumpion ","Total volume of
oil exported annually","Total value of 
oil produced","Total value of 
oil consumption","Difference between production
 value and consumption value","How many USD
 are generated for
 every petajoule consumed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,44,NA,"35,520","5,775",N/D,263,49.8,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1971,46,4.21,"39,200","5,809",N/D,249.4,49.8,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1972,48,4.21,"45,200","6,099",N/D,282.7,49.8,NA,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1973,50,4.21,"55,280","6,385",N/D,267.1,51,NA,18.4,NA,NA,NA,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1974,52,4.21,"72,000","6,559",N/D,291.3,51,NA,19.3,NA,NA,NA,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,54,4.21,"88,000","6,741",N/D,294.9,51,NA,22.1,NA,NA,NA,705,NA,NA,NA,NA,NA,NA,NA,NA,"47,008",NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1976,57,4.21,"88,876","6,845",N/D,327.2,51,NA,31.5,NA,NA,NA,831,NA,NA,NA,NA,NA,NA,NA,NA,"55,947",NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1977,59,4.21,"81,912","6,889",N/D,326.1,51,NA,29.8,NA,36,NA,981,NA,NA,NA,NA,NA,NA,NA,NA,"68,127",NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1978,62,4.21,"102,649","7,310",N/D,314.9,51,NA,28.1,NA,63,NA,1209,NA,NA,NA,NA,NA,NA,NA,NA,"76,968",NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1979,64,4.21,"134,532","7,815",N/D,308.5,52.4,NA,26.1,NA,91,NA,1461,NA,NA,NA,NA,NA,NA,NA,NA,"128,012",NA,NA,N/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,67,4.29,"205,577","8,290",N/D,287.4,52.4,36.3,23.4,NA,126,NA,1936,1270,3978.81,191.62,890.20,2827.99,NA,69.00,918,"228,994","150,203","78,791",51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1981,68,1.97,"263,798","8,875",N/D,292.3,49.7,37.9,28.1,642,230,NA,2313,1399,4333.51,169.97,961.00,3105.77,NA,96.77,1225,"263,417","159,313","104,104",60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
